Add 方式,session_id,source_turn_id,page_id,raw_token_count_including_special,effective_token_count,truncated,summary_tokens_total,summary_tokens_kept,keywords_tokens_total,keywords_tokens_kept,user_tokens_total,user_tokens_kept,user_truncation_status
原 Production Add（仅当前 User + Assistant）,S004,S004-Q048,70928294-03f0-58fc-a035-7ff125da827a,531,512,True,429,429,46,46,54,35,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q049,e170d165-c266-54ae-b2e5-43779070a30c,393,393,False,289,289,48,48,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q050,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,557,512,True,456,456,41,41,58,13,PARTIALLY_TRUNCATED
原 Production Add（仅当前 User + Assistant）,S004,S004-Q051,90248870-b2cb-59d2-a707-79d09f366d8a,479,479,False,385,385,44,44,48,48,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q052,878d53f1-01f1-5c71-a049-a27cb9acec6e,315,315,False,213,213,48,48,52,52,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q053,ca05266e-320c-5081-9d2d-f7c8689c58a9,439,439,False,350,350,46,46,41,41,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q054,dc6ba915-fc07-5757-90c3-d95dfb3478c1,319,319,False,227,227,39,39,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q055,9756fdab-cc22-5044-93e9-7c352de5e971,417,417,False,322,322,42,42,51,51,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q056,52990abe-a81c-5937-b506-8a88315cc3c0,411,411,False,317,317,42,42,50,50,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q057,2c5547ce-bd04-536c-8b2d-e09ae5633e53,384,384,False,298,298,44,44,40,40,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q058,28de896e-9356-58a4-a8c5-c3efe7770f57,446,446,False,346,346,49,49,49,49,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q059,48aa25ba-8df9-593a-8b3e-cca517735400,370,370,False,280,280,47,47,41,41,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q060,5de53dda-376b-5b7c-9542-821346ec2c03,429,429,False,329,329,41,41,57,57,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q061,ecd585a8-ccb9-5777-865a-fb20a6358a88,355,355,False,258,258,41,41,54,54,FULLY_KEPT
原 Production Add（仅当前 User + Assistant）,S004,S004-Q062,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,455,455,False,357,357,45,45,51,51,FULLY_KEPT
