candidate_representation,candidate_strategy,candidate_k,rerank_representation,reranker_model,candidate_recall,evaluated_query_count,eligible_gold_count,mrr,ndcg_at_5,mean_gold_rank,median_gold_rank,max_gold_rank,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_15,recall_at_20,recall_at_30,score_all_visible_mean_ms,score_all_visible_p95_ms,status
P0,weighted_dense_0.6,30,P8,BAAI/bge-reranker-base,1.0,14,21,0.29314983569185254,0.2713393987662372,10.142857142857142,8,28,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.9047619047619048,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P8,dense,10,P0,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.2623255712541427,0.20408743850731245,10.19047619047619,9,29,0.047619047619047616,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P8,dense,10,P1,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.2470477934763649,0.2483244944526963,9.761904761904763,8,29,0.0,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P8,dense,10,P8,BAAI/bge-reranker-base,0.6666666666666666,14,21,0.3125239839525554,0.28069152402134134,9.619047619047619,8,29,0.047619047619047616,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.8095238095238095,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P8,dense,15,P0,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.2508227883227883,0.20105133323515972,10.523809523809524,10,29,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.5238095238095238,0.8095238095238095,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P8,dense,15,P1,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.22303807303807302,0.2237282563509532,9.904761904761905,8,29,0.0,0.2857142857142857,0.38095238095238093,0.6190476190476191,0.8095238095238095,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P8,dense,15,P8,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.2854007104007104,0.27000187441668094,9.904761904761905,9,29,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.6190476190476191,0.8095238095238095,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
P8,dense,20,P0,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.24183495076352218,0.20105133323515972,11.523809523809524,12,29,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.42857142857142855,0.7619047619047619,0.8095238095238095,1.0,4621.19940485614,22375.93211619969,AVAILABLE
P8,dense,20,P1,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.21129792826221397,0.21877658192762414,10.571428571428571,8,29,0.0,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,1391.9795174286785,2632.946130703203,AVAILABLE
P8,dense,20,P8,BAAI/bge-reranker-base,0.8095238095238095,14,21,0.2676427738927739,0.2606497491615768,10.571428571428571,10,29,0.047619047619047616,0.2857142857142857,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8095238095238095,1.0,3164.5920944283716,10849.590550750136,AVAILABLE
