model,kind,item_id,session_id,source_turn_id,raw_text_token_count,official_instruction_added,selected_max_length,truncated
aspire/acge_text_embedding,Page,e732511e-b0fe-5c66-8778-0235ad67b308,S003,S003-Q077,450,False,1024,False
aspire/acge_text_embedding,Page,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003,S003-Q078,480,False,1024,False
aspire/acge_text_embedding,Page,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003,S003-Q079,463,False,1024,False
aspire/acge_text_embedding,Page,c027f905-aa4f-57f5-baf6-36d397160620,S003,S003-Q080,458,False,1024,False
aspire/acge_text_embedding,Page,55fa1f65-ad74-5d1c-aafd-00013a0a4724,S003,S003-Q081,463,False,1024,False
aspire/acge_text_embedding,Page,1958df93-850e-5159-a3f2-9fa2bd4b26bd,S003,S003-Q082,474,False,1024,False
aspire/acge_text_embedding,Page,6f87cd79-b136-58c6-b1dc-63adee52a9c0,S003,S003-Q083,431,False,1024,False
aspire/acge_text_embedding,Page,dc75d4a6-dbec-512b-bed7-4048466382c6,S003,S003-Q084,469,False,1024,False
aspire/acge_text_embedding,Page,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003,S003-Q085,459,False,1024,False
aspire/acge_text_embedding,Page,3ea1312b-2cc6-53f3-be4d-3ce6db813e56,S003,S003-Q086,467,False,1024,False
aspire/acge_text_embedding,Page,138590ee-f1ad-552b-9655-ff727e22c72a,S003,S003-Q087,462,False,1024,False
aspire/acge_text_embedding,Page,a1b1095c-6b15-5cb5-885e-e4b0f49ab01c,S003,S003-Q088,451,False,1024,False
aspire/acge_text_embedding,Page,a430481a-3584-5aa7-9481-a18f5f205c42,S003,S003-Q089,432,False,1024,False
aspire/acge_text_embedding,Page,dd0108d6-a45a-5d6d-97cd-d1fbcd7160c5,S003,S003-Q090,471,False,1024,False
aspire/acge_text_embedding,Page,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004,S004-Q001,539,False,1024,False
aspire/acge_text_embedding,Page,f3e1812a-c8a3-560c-8424-84d252ae452f,S004,S004-Q002,596,False,1024,False
aspire/acge_text_embedding,Page,e45c4d60-1608-5524-b2df-3c2b4e8007c5,S004,S004-Q003,627,False,1024,False
aspire/acge_text_embedding,Page,e69ec046-4916-5e0b-8917-8f3fc9d8b112,S004,S004-Q004,600,False,1024,False
aspire/acge_text_embedding,Page,21d39c45-cce0-52fc-a2b9-e5a4aeaa91d8,S004,S004-Q005,357,False,1024,False
aspire/acge_text_embedding,Page,d876eb51-66ba-5437-955a-25c3f405ef2f,S004,S004-Q006,348,False,1024,False
aspire/acge_text_embedding,Page,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004,S004-Q007,447,False,1024,False
aspire/acge_text_embedding,Page,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004,S004-Q008,558,False,1024,False
aspire/acge_text_embedding,Page,b90ba0e9-ee61-5bae-a71f-8eae2f3ebcb8,S004,S004-Q009,436,False,1024,False
aspire/acge_text_embedding,Page,75337c00-099c-56d7-ad2c-bd3be6ef4b11,S004,S004-Q010,379,False,1024,False
aspire/acge_text_embedding,Page,0cd91b6e-376f-57c4-8232-cdabb36c695f,S004,S004-Q011,376,False,1024,False
aspire/acge_text_embedding,Page,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004,S004-Q012,364,False,1024,False
aspire/acge_text_embedding,Page,4d69ebe7-67b0-50e3-b528-7136c65b206a,S004,S004-Q013,384,False,1024,False
